CTCF,H3K4me1,EZH2,ATAC,POL2,P300,H3K9me3,H3K4me3,H3K36me3,H3K27ac,Position
1.281458,3.612805,3.939018,2.0093575,0.4720884,3.2766335,1.7760406,3.9480355,1.4976072,2.6437693,0.064
0.9475324,1.9109536,3.123886,1.5338802,0.28495544,2.538478,1.3088536,2.3734992,1.2772484,1.2221045,0.192
0.88975275,1.9950176,3.0176303,3.7535563,0.280098,2.3574514,1.259925,2.033431,1.0904443,1.3572294,0.32
0.82458246,1.6670521,2.652123,2.5410178,0.27631122,2.0590787,1.2236514,2.0600753,1.3456358,1.3390735,0.448
0.65112,0.97711134,1.6029907,6.0239363,0.23249349,1.4990245,0.8703238,2.0622134,1.1109791,1.2430955,0.576
0.6303867,1.2382172,1.7035553,4.445759,0.24215202,1.4852548,1.03109,2.6843793,1.5017095,1.4745957,0.704
1.2461057,3.5442111,3.3807669,5.4313984,0.67149025,2.7345052,1.6810082,3.948469,1.7233312,3.064725,0.832
3.880036,4.354421,4.099334,8.859944,0.8042821,3.7364588,1.8483751,4.6592345,1.7540419,3.1925454,0.96
2.4741392,6.578552,4.5200396,9.542909,1.1049168,4.246449,1.9912943,6.401836,1.7951584,5.2420826,1.088
1.4483708,4.7870035,4.073359,10.550151,1.1216471,3.323964,1.9110886,4.859548,2.1705873,3.567467,1.216
1.512488,4.013893,3.778075,8.7021475,0.96025056,3.4634707,1.6310017,4.515831,1.7594697,3.2809339,1.344
1.040854,2.1733315,2.9408255,4.8839474,0.44388932,2.5832577,1.3264513,2.8701959,1.3718895,1.7521583,1.472
0.844278,3.0468612,3.1004276,1.0900288,0.27843058,2.5215611,1.3247132,3.5260258,1.2604525,2.328384,1.6
1.0480611,2.6732547,3.2555296,4.4121494,0.47931954,2.3898036,1.5071893,2.9984946,1.4720062,2.0897975,1.728
1.2173988,3.245804,3.5764072,4.345782,0.64971626,2.4320834,1.931651,3.774836,1.6961861,2.9683757,1.856
1.5986322,4.5355797,3.4676423,4.7099223,0.8731864,2.334014,2.1755037,4.700134,2.0890615,3.8479486,1.984
2.241922,8.470895,4.256736,13.367943,1.7054896,3.3145752,2.673278,8.067746,2.2482815,6.815124,2.112
1.8254781,6.107435,3.8882756,7.381959,1.4349045,2.8557012,2.3634715,5.870869,2.821747,4.450683,2.24
2.5833788,6.546378,4.2803774,12.481139,1.4143006,3.423574,2.2242548,6.3559003,1.6285979,5.2726164,2.368
4.0513234,3.9358468,3.4212024,13.7920475,0.9530548,3.3344498,1.7276084,4.5207777,1.5788653,2.9272513,2.496
2.1787102,2.0181696,1.5606308,7.9943876,0.28142396,1.4817988,0.93539417,3.8616524,1.0425603,1.8524933,2.624
0.5649643,1.8573462,1.6589829,4.0891457,0.21910082,1.3813928,0.9036004,3.8072987,0.97514856,1.4626502,2.752
1.4803984,7.0817933,4.6507745,7.3224363,1.0393909,3.7476895,2.0277445,6.965097,1.3824743,4.4562283,2.88
